Course Code,Course Title,AU,School
BU8101,ACCOUNTING: A USER PERSPECTIVE*,3.0,NBS
BU8201,BUSINESS FINANCE*,3.0,NBS
BU8301,FUNDAMENTALS OF BUSINESS LAW*,3.0,NBS
BU8401,MANAGEMENT DECISION TOOLS*,3.0,NBS
BU8501,MARKETING FOR THE 21ST CENTURY*,3.0,NBS
BU8601,FUNDAMENTALS OF MANAGEMENT*,3.0,NBS
CE1011,ENGINEERING MATHEMATICS I,3.0,SCSE
CE1012,ENGINEERING MATHEMATICS II,3.0,SCSE
CE1103,INTRODUCTION TO COMPUTATIONAL THINKING & PROGRAMMING,3.0,SCSE
CE1104,LINEAR ALGEBRA FOR COMPUTING,3.0,SCSE
CE1105,DIGITAL LOGIC,3.0,SCSE
CE1106,COMPUTER ORGANISATION & ARCHITECTURE,3.0,SCSE
CE1107,DATA STRUCTURES & ALGORITHMS,3.0,SCSE
CE1113,PHYSICS FOR COMPUTING,2.0,SCSE
CZ1011,ENGINEERING MATHEMATICS I,3.0,SCSE
CZ1012,ENGINEERING MATHEMATICS II,3.0,SCSE
CZ1103,INTRODUCTION TO COMPUTATIONAL THINKING & PROGRAMMING,3.0,SCSE
CZ1104,LINEAR ALGEBRA FOR COMPUTING,3.0,SCSE
CZ1105,DIGITAL LOGIC,3.0,SCSE
CZ1106,COMPUTER ORGANISATION & ARCHITECTURE,3.0,SCSE
CZ1107,DATA STRUCTURES & ALGORITHMS,3.0,SCSE
CZ1113,PHYSICS FOR COMPUTING,2.0,SCSE
EE1002,PHYSICS FOUNDATION FOR ELECTRICAL & ELECTRONIC ENGINEERING,4.0,EEE
EE1003,INTRODUCTION TO MATERIALS FOR ELECTRONICS,3.0,EEE
EE1005,FROM COMPUTATIONAL THINKING TO PROGRAMMING,3.0,EEE
