Index,Type,Group,Day,Begin Time,End Time,Venue,Teaching Weak,Remark
00134,SEM,1,TUESDAY,11:30,14:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00135,SEM,2,TUESDAY,15:30,18:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00136,SEM,3,WEDNESDAY,09:30,12:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00137,SEM,4,WEDNESDAY,14:30,17:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00138,SEM,5,THURSDAY,12:30,15:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00139,SEM,6,FRIDAY,11:30,14:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00140,SEM,7,FRIDAY,15:30,18:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00307,LEC,1,TUESDAY,14:30,16:30,ONLINE,1,
00307,SEM,1,TUESDAY,10:30,11:30,S3-SR9,"2,3,4,5,6,7,8,9,10,11,12,13",
00307,SEM,1,TUESDAY,10:30,11:30,ITL-SA3,10,
00308,LEC,1,TUESDAY,14:30,16:30,ONLINE,1,
00308,SEM,2,TUESDAY,11:30,12:30,ITL-SA3,10,
00308,SEM,2,TUESDAY,11:30,12:30,S4-SR15,"2,3,4,5,6,7,8,9,10,11,12,13",
00309,LEC,1,TUESDAY,14:30,16:30,ONLINE,1,
00309,SEM,3,TUESDAY,12:30,13:30,S4-SR15,"2,3,4,5,6,7,8,9,10,11,12,13",
00309,SEM,3,TUESDAY,12:30,13:30,ITL-SA3,10,
00310,LEC,1,TUESDAY,14:30,16:30,ONLINE,1,
00310,SEM,4,TUESDAY,13:30,14:30,ITL-SA3,10,
00310,SEM,4,TUESDAY,13:30,14:30,S4-SR15,"2,3,4,5,6,7,8,9,10,11,12,13",
00311,LEC,1,TUESDAY,14:30,16:30,ONLINE,1,
00311,SEM,5,TUESDAY,08:30,09:30,S3-SR9,"2,3,4,5,6,7,8,9,10,11,12,13",
00311,SEM,5,TUESDAY,08:30,09:30,ITL-SA3,10,
00312,LEC,1,TUESDAY,14:30,16:30,ONLINE,1,
00312,SEM,6,TUESDAY,09:30,10:30,S3-SR9,"2,3,4,5,6,7,8,9,10,11,12,13",
00312,SEM,6,TUESDAY,09:30,10:30,ITL-SA3,10,
00317,SEM,1,TUESDAY,19:00,22:00,S4-SR13,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00318,SEM,2,THURSDAY,19:00,22:00,S4-SR13,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00388,SEM,1,MONDAY,14:30,17:30,S4-SR24,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00389,SEM,2,TUESDAY,14:30,17:30,S3-SR5,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00390,SEM,3,WEDNESDAY,14:30,17:30,S3-SR9,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00391,SEM,4,THURSDAY,14:30,17:30,S4-SR19,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00392,SEM,5,FRIDAY,14:30,17:30,S3-SR2,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00393,SEM,6,FRIDAY,14:30,17:30,S3-SR7,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00398,SEM,1,TUESDAY,09:30,12:30,S4-SR9,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00604,SEM,1,MONDAY,14:30,17:30,S3-SR6,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00605,SEM,2,WEDNESDAY,18:30,21:30,S3-SR6,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00606,SEM,3,TUESDAY,14:30,17:30,S3-SR7,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00607,SEM,4,WEDNESDAY,14:30,17:30,S3-SR7,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00710,LEC,1,THURSDAY,17:00,18:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00710,SEM,1,MONDAY,15:30,17:30,S3-SR3,"2,3,4,5,6,7,8,9,10,11,12,13",
00711,LEC,1,THURSDAY,17:00,18:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00711,SEM,2,MONDAY,17:30,19:30,S3-SR3,"2,3,4,5,6,7,8,9,10,11,12,13",
00712,LEC,1,THURSDAY,17:00,18:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00712,SEM,3,TUESDAY,16:30,18:30,S4-SR8,"2,3,4,5,6,7,8,9,10,11,12,13",
00713,LEC,1,THURSDAY,17:00,18:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00713,SEM,4,TUESDAY,18:30,20:30,S4-SR8,"2,3,4,5,6,7,8,9,10,11,12,13",
00714,LEC,1,THURSDAY,17:00,18:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00714,SEM,5,THURSDAY,12:30,14:30,S4-SR21,"2,3,4,5,6,7,8,9,10,11,12,13",
00715,LEC,1,THURSDAY,17:00,18:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00715,SEM,6,FRIDAY,15:30,17:30,S4-SR1,"2,3,4,5,6,7,8,9,10,11,12,13",
00716,LEC,1,THURSDAY,17:00,18:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00716,SEM,7,FRIDAY,17:30,19:30,S4-SR1,"2,3,4,5,6,7,8,9,10,11,12,13",
00717,LEC,1,THURSDAY,17:00,18:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00717,SEM,8,THURSDAY,14:30,16:30,S4-SR22,"2,3,4,5,6,7,8,9,10,11,12,13",
00722,SEM,1,WEDNESDAY,09:30,12:30,S4-SR18,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00723,SEM,2,FRIDAY,09:30,12:30,S4-SR20,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00728,SEM,1,TUESDAY,09:30,12:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00729,SEM,2,TUESDAY,14:30,17:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00901,LEC,1,MONDAY,19:00,21:00,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00901,SEM,1,TUESDAY,14:30,16:30,ONLINE,"2,4,6,8,10,12",
00902,LEC,1,MONDAY,19:00,21:00,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00902,SEM,2,TUESDAY,14:30,16:30,ONLINE,"3,5,7,9,11,13",
00903,LEC,1,MONDAY,19:00,21:00,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00903,SEM,3,TUESDAY,18:30,20:30,ONLINE,"2,4,6,8,10,12",
00904,LEC,1,MONDAY,19:00,21:00,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00904,SEM,4,TUESDAY,18:30,20:30,ONLINE,"3,5,7,9,11,13",
00905,LEC,1,MONDAY,19:00,21:00,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00905,SEM,5,WEDNESDAY,18:30,20:30,ONLINE,"2,4,6,8,10,12",
00906,LEC,1,MONDAY,19:00,21:00,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00906,SEM,6,WEDNESDAY,18:30,20:30,ONLINE,"3,5,7,9,11,13",
00907,LEC,1,MONDAY,19:00,21:00,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00907,SEM,7,TUESDAY,18:30,20:30,ONLINE,"2,4,6,8,10,12",
00908,LEC,1,MONDAY,19:00,21:00,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00908,SEM,8,TUESDAY,18:30,20:30,ONLINE,"3,5,7,9,11,13",
00909,LEC,1,MONDAY,19:00,21:00,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00909,SEM,9,THURSDAY,18:30,20:30,ONLINE,"2,4,6,8,10,12",
00910,LEC,1,MONDAY,19:00,21:00,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00910,SEM,10,THURSDAY,18:30,20:30,ONLINE,"3,5,7,9,11,13",
00915,SEM,1,TUESDAY,09:30,12:30,TR+79,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00916,SEM,2,TUESDAY,14:30,17:30,TR+79,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00917,SEM,3,WEDNESDAY,14:30,17:30,TR+31,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00922,SEM,1,WEDNESDAY,09:30,12:30,S4-SR23,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00923,SEM,2,WEDNESDAY,14:30,17:30,S4-SR24,"1,2,3,4,5,6,7,8,9,10,11,12,13",
00933,SEM,1,WEDNESDAY,14:30,17:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10001,LEC,CE1,MONDAY,11:30,12:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10001,TUT,CM1,WEDNESDAY,12:30,13:30,SWLAB1,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10001,LAB,CM1,WEDNESDAY,13:30,14:30,SWLAB1,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10002,LEC,CE1,MONDAY,11:30,12:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10002,TUT,FE1,WEDNESDAY,08:30,09:30,SWLAB1,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10002,LAB,FE1,WEDNESDAY,09:30,10:30,SWLAB1,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10003,LEC,CE1,MONDAY,11:30,12:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10003,TUT,FE2,MONDAY,12:30,13:30,SWLAB1,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10003,LAB,FE2,MONDAY,13:30,14:30,SWLAB1,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10004,LEC,CE1,MONDAY,11:30,12:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10004,TUT,FE3,THURSDAY,10:30,11:30,SPL,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10004,LAB,FE3,THURSDAY,11:30,12:30,SPL,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10005,LEC,CE1,TUESDAY,13:30,14:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10005,LEC,CE1,THURSDAY,15:30,16:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10005,TUT,FE1,WEDNESDAY,10:30,11:30,TR+15,"2,3,4,5,6,7,8,9,10,11,12,13",
10005,LAB,FE1,FRIDAY,12:30,14:30,HWLAB3,"2,4,6,8,10,12",
10006,LEC,CE1,TUESDAY,13:30,14:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10006,LEC,CE1,THURSDAY,15:30,16:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10006,TUT,FE2,MONDAY,13:30,14:30,TR+16,"2,3,4,5,6,7,8,9,10,11,12,13",
10006,LAB,FE2,THURSDAY,12:30,14:30,HWLAB3,"2,4,6,8,10,12",
10007,LEC,CE1,TUESDAY,13:30,14:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10007,LEC,CE1,THURSDAY,15:30,16:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10007,TUT,FEP1,WEDNESDAY,16:30,17:30,TR+9,"2,3,4,5,6,7,8,9,10,11,12,13",
10007,LAB,FEP1,THURSDAY,12:30,14:30,HWLAB3,"1,3,5,7,9,11,13",
10008,LEC,CE1,TUESDAY,13:30,14:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10008,LEC,CE1,THURSDAY,15:30,16:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10008,TUT,FEP2,TUESDAY,15:30,16:30,TR+9,"2,3,4,5,6,7,8,9,10,11,12,13",
10008,LAB,FEP2,WEDNESDAY,08:30,10:30,HWLAB3,"2,4,6,8,10,12",
10009,LEC,CE1,MONDAY,15:30,16:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10009,LEC,CE1,FRIDAY,12:30,13:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10009,TUT,FSP3,FRIDAY,10:30,11:30,TR+15,"2,3,4,5,6,7,8,9,10,11,12,13",
10009,LAB,FSP3,TUESDAY,10:30,12:30,HWLAB2,"2,4,6,8,10,12",
10012,LEC,CE1,WEDNESDAY,13:30,14:30,LT4,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10012,TUT,FSP3,TUESDAY,11:30,12:30,TR+15,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10012,LAB,FSP3,TUESDAY,10:30,11:30,SWLAB2,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10013,LEC,CE1,MONDAY,11:30,12:30,LT11,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10013,LEC,CE1,FRIDAY,09:30,10:30,LT11,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10013,TUT,DD2,WEDNESDAY,14:30,15:30,TR+9,"2,3,4,5,6,7,8,9,10,11,12,13",
10013,LAB,DD2,MONDAY,08:30,10:30,HWLAB3,"2,4,6,8,10,12",
10015,LEC,CE1,TUESDAY,14:30,15:30,LT6,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10015,LEC,CE1,THURSDAY,14:30,15:30,LT6,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10015,TUT,FEP4,TUESDAY,08:30,09:30,TR+17,"2,3,4,5,6,7,8,9,10,11,12,13",
10015,LAB,FEP4,WEDNESDAY,08:30,10:30,HWLAB2,"2,4,6,8,10,12",
10017,LEC,CE1,MONDAY,19:00,22:00,ONLINE,"1,2,3,4",
10017,LEC,CE1,TUESDAY,12:30,13:30,ONLINE,"5,6,7,8,9,10,11,12,13",
10017,LEC,CE1,FRIDAY,16:30,17:30,ONLINE,"5,6,7,8,9,10,11,12,13",
10017,LAB,CM1,WEDNESDAY,14:30,16:30,HPL,"2,4,6,8,10,12",
10018,LEC,CE1,MONDAY,19:00,22:00,ONLINE,"1,2,3,4",
10018,LEC,CE1,TUESDAY,12:30,13:30,ONLINE,"5,6,7,8,9,10,11,12,13",
10018,LEC,CE1,FRIDAY,16:30,17:30,ONLINE,"5,6,7,8,9,10,11,12,13",
10018,LAB,FE1,THURSDAY,08:30,10:30,HPL,"1,3,5,7,9,11,13",
10019,LEC,CE1,MONDAY,19:00,22:00,ONLINE,"1,2,3,4",
10019,LEC,CE1,TUESDAY,12:30,13:30,ONLINE,"5,6,7,8,9,10,11,12,13",
10019,LEC,CE1,FRIDAY,16:30,17:30,ONLINE,"5,6,7,8,9,10,11,12,13",
10019,LAB,FE2,FRIDAY,10:30,12:30,HPL,"2,4,6,8,10,12",
10020,LEC,CE1,MONDAY,19:00,22:00,ONLINE,"1,2,3,4",
10020,LEC,CE1,TUESDAY,12:30,13:30,ONLINE,"5,6,7,8,9,10,11,12,13",
10020,LEC,CE1,FRIDAY,16:30,17:30,ONLINE,"5,6,7,8,9,10,11,12,13",
10020,LAB,FEP1,WEDNESDAY,11:30,13:30,HPL,"2,4,6,8,10,12",
10021,LEC,CE2,MONDAY,12:30,13:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10021,LEC,CE2,FRIDAY,10:30,11:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10021,TUT,SE1,TUESDAY,10:30,11:30,TR+16,"2,3,4,5,6,7,8,9,10,11,12,13",
10021,LAB,SE1,MONDAY,14:30,16:30,HWLAB3,"2,4,6,8,10,12",
10022,LEC,CE2,MONDAY,12:30,13:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10022,LEC,CE2,FRIDAY,10:30,11:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10022,TUT,SE2,MONDAY,08:30,09:30,LHN-TR+18,"2,3,4,5,6,7,8,9,10,11,12,13",
10022,LAB,SE2,MONDAY,14:30,16:30,HWLAB2,"1,3,5,7,9,11,13",
10023,LEC,CE2,MONDAY,12:30,13:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10023,LEC,CE2,FRIDAY,10:30,11:30,ONLINE,"1,2,3,4,5,6,7,8,9,10,11,12,13",
10023,TUT,SEP1,MONDAY,16:30,17:30,TR+31,"2,3,4,5,6,7,8,9,10,11,12,13",
